text,emotion
per wow,POSITIVE
thằng kia làm nhẹ nhẹ thôi nhé .,NEUTRAL
t quá mệt mỏi với cuộc sống này rồi 😓,NEGATIVE
per tao tán sấp mặt,NEGATIVE
nghe tên vietcombank là bao nhiêu quá khứ bực mình ùa về,NEGATIVE
chính xác là con gái xinh auto đáng yêu =)))),POSITIVE
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,NEGATIVE
tuần sau nữa mới học =))),POSITIVE
tốt nhất là không nên mang điện thoại theo người,NEUTRAL
per là ai thế nhỉ cụ :)),NEUTRAL
anh thứ 2 cute thế =))),POSITIVE
đang ăn . nói nói con cặc 😒😒,NEGATIVE
tóm lại vẩn ế à,POSITIVE
nó sẽ thì thầm tai mày “ dượng đây “ 🤣🤣,POSITIVE
hết tiền rồi này,NEGATIVE
hú hồn,NEGATIVE
tiếng guitar thật tuyệt,POSITIVE
cho dân nhậu đi lùa 1 hôm thì đến con tép còn đéo còn nữa là hùm đất :)),NEGATIVE
per xem câu chuyện hư cấu này giết thời gian này 👏,NEUTRAL
trung thu là tết thiếu chi chả liên quan chi đến việc tao không có gấu,NEGATIVE
"thôi , không tranh cãi , không lại các bác . nói chung không cấm thì đỗ , còn đỗ để làm gì thì do ý thức mỗi người",NEUTRAL
per giảm tốc ở bình dương tuổi gì với cái này .,NEUTRAL
tao cũng ước mình có 1 tình yêu như ông bà ❤,POSITIVE
bé giỏi toán quá nên cô giáo mất dạy luôn,NEUTRAL
loạn luân cũng được . đcm ạ,NEGATIVE
phim nay xem rất nhiều lân nhưng quá hay vẫn muốn sẽ tiếp tục xem,POSITIVE
per thua là hết cf để uống .,NEUTRAL
mình nghĩ đợt này bà per thua rồi . đuối lý lẫn truyền thông yếu,NEGATIVE
may mà không mua laptop này không thì ăn lìn lâu rồi :(,POSITIVE
"mưa sấp mặt , về đi",NEGATIVE
quá đau lòng nhưng chúng ta phải chấp nhận với điều đó,NEGATIVE
ủa ? chọn người nào cũng như nhau thôi . vì cả 2 người chắc đéo gì đã thích bạn đâu ? :)),NEUTRAL
chờ tý tao đi thay bỉm xíu tao quay lại .,NEGATIVE
nhìn stt đồng cảm khủng khiếp .,NEGATIVE
giá như anh được ào rơi về quá khứ ....,NEUTRAL
giống tao thế nhỉ ! 😑😑,POSITIVE
tôm này vào là nó diệt hết tôm bản địa luôn,NEUTRAL
một thời để nhớ,NEUTRAL
đéo có người thương để mà làm ấy chứ :(,NEGATIVE
cái đồng hồ mọi người cho em hỏi giá bao nhiêu ạ,NEUTRAL
sao đũy đó có thể mập được vậy nhỉ,POSITIVE
chẳng những hư xe mà còn bị phạt nặng nữa,NEGATIVE
minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thuỷ với mình hay không hâhhah,POSITIVE
bán không thu thuế luôn à,POSITIVE
ngửi mùi hoa sữa xong chia tay :),NEUTRAL
vậy bỏ tiền mua cái máy tính đó để chi ta ???,POSITIVE
đã bảo cho tôi đi trước rồi mà không chịu . :v,NEUTRAL
cảm động người thầy đưa học sinh đi làm hồ sơ 🙄,POSITIVE
như nó không phải là tình yêu . khi đã là tình yêu thì không gì đánh đổi nó cả . con gái kỳ lạ chỗ đó .,NEUTRAL
nó mà có con khác rồi giận lại nó cho cút luôn lại bảo sao ngu :)),NEGATIVE
cũng may là hết thời đi học rồi .. không lại từ “ con nhà người ta ” nó lại được nhắc liên tục trog bữa ăn hàng ngày 😅,POSITIVE
hồi xưa anh hay bị chửi trẻ trâu này nọ ... giờ anh là tổng giám đốc rồi 😁😎,POSITIVE
vãi đông như này á 😢,POSITIVE
đụ mẹ cười ỉa ????????,POSITIVE
"mấy thành phần không chấp hành luật giao thông cứ phải thế này . cơ mà thằng này gà thật , tạt mẹ vào quán nước mà ngồi uống chứ làm gì phải dắt xe khổ thế kia",NEGATIVE
"mỗi lần nó cắt thì tao không muốn thấy mặt nó một tuần , nhìn xấu vãi",NEGATIVE
cô ấy không yêu tôi,NEGATIVE
mặt mày nhìn chán thậc,NEGATIVE
đây còn hơn cả vua . giàu mà nghĩ lớn làm lớn .,NEUTRAL
"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",NEGATIVE
"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy",NEGATIVE
xịt nước là ướt rồi,NEUTRAL
"biết chỉ là phim thôi , xem con bé hôn bố lần cuối nước mắt tự rơi , híc híc",NEGATIVE
mẹ mày đã đánh mày tan xác chưa . phải tao thì mẹ tao cho nhừ tử luôn rồi ??,NEGATIVE
cái này nó giống câu “ em ăn cơm chưa ” vãi,POSITIVE
per vẫn là con mẻ . nay hàng họ to quá ;)))),POSITIVE
xin lỗi đây mình vẫn nấu nhé,POSITIVE
nhưng sạn quá . ma mà sao lúc đầu có bóng của cánh tay vậy .???,NEUTRAL
hỏi thế gian tình ái là chi =)))),NEUTRAL
"coi khúc đầu không hiểu , đến lúc ổng bước ra khỏi làn khói , thật không thể cầm được nước mắt",NEGATIVE
ăn bớt của trẻ vậy mà bị khiển trách thì lần sau còn làm tiếp và mạnh hơn nữa đúng lả luật của việt nam không có chức quyền ăn trộm ổ bánh mì phải đi tù còn có chức ăn 150trieu thì bị khiển trách thôi,NEGATIVE
đcm anh da đen fake,NEGATIVE
mấy bọn thả chó không rọ mõm gây hại cho người khác phải bị chó cắn mới thích đáng per,NEGATIVE
bây thấy nó vô lý vãi lol không ?,NEGATIVE
"không phù hợp thổ nhưỡng , khí hậu . vậy mà vẫn tung hô , dải ngân để làm khổ dân . quả bóng trách nhiệm chẳng thuộc về ai cả . 😢😢",NEGATIVE
thông minh 😂,POSITIVE
em nuôi con lợn mấy năm rồi mà vẫn trống rỗng huhu 😭😭😭,NEGATIVE
cho xin tí muối ạ,NEUTRAL
ngạc nhiên đấy,POSITIVE
phim kinh dị vào cái trời âm u 😒,NEGATIVE
trò cười . :v,POSITIVE
per tụi này bản lĩnh ghê .,POSITIVE
coi mà cái tay nó rung trái tim nó đập sợ cái thằng đó té sấp mặt luôn thì không bình thường họa mi còn hót được không :)))),NEGATIVE
per trước cái thời ở trọ nè anh,NEUTRAL
đáng yêu vại trời,POSITIVE
bài nhạc hay khi nó đúng tâm trạng ... nhạc hay !!!!!,POSITIVE
vl đánh đòn hic :))))),NEGATIVE
là khi gặp nhau mọi suy nghĩ buồn bực trước đó nhường chỗ cho cậu :)),POSITIVE
mấy cái video của bọn này đóng hay vãi,POSITIVE
mày xây luôn đi chắn biển cho tao . xây xomg muốn viết lồn gì thì viết,NEGATIVE
tưởng mai đi họp phụ huynh mới bị u ám . ai ngờ hôm nay mới biết điểm anh 9 . 5 thôi đã u ám rồi :),NEGATIVE
tại sao không áp dụng khoảng 2 điều 320 luật hình sự 2015 phạt tù từ 3 - 10 năm về tội hành nghề mê tín dị đoan gây ảnh hưởng xấu đến an ninh trật tự và an toàn xh mà chỉ phạt con mụ đó 5 triệu đồng ? hay là vong đòi phạt hành chính 5tr thôi 😬,NEGATIVE
"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi",NEGATIVE
vl :)) còn đút tay túi áo ??,POSITIVE
rồi rủi gặp phải thằng người yêu con kia cục súc nó lại xiên cả đám :),NEUTRAL
coi mà lộn ruột .,NEGATIVE
:))) mặt ngáo vậy mà còn lạ lẫm gì,NEUTRAL
hot đến vậy cơ à ? mình chưa nghe bao giờ luôn .,POSITIVE
mạng lag chưa xem được nhưng vẫn vào bình luận 😍😍,NEUTRAL
nhớ thời sinh viên 😃,POSITIVE
